[2025-01-09 21:04:41,837 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Obtaining HTML from tab[0].
[2025-01-09 21:04:41,837 - 139801749485248]  SeleniumDriver-ScholarScraper - DEBUG: Using default wait time.
[2025-01-09 21:04:41,837 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Waiting 52.53 seconds for 0 (delta: 3.44)...
[2025-01-09 21:05:34,373 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: HTML obtained from tab[0].
[2025-01-09 21:05:34,483 - 139801749485248]  ScholarScraper - INFO: TAB[0] - Extracted name: Guido Rocchietti
[2025-01-09 21:05:34,484 - 139801749485248]  ScholarScraper - INFO: TAB[0] - Extracted interests: ['LLM', 'NLP', 'Conversational Search', 'Summarization']
[2025-01-09 21:05:34,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Releasing tab[0] for URL search: gpwgJZkAAAAJ.
[2025-01-09 21:05:34,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] released successfully.
[2025-01-09 21:05:34,484 - 139801749485248]  ScholarScraper - INFO: TAB[None] - Starting publication extraction.
[2025-01-09 21:05:34,484 - 139801749485248]  ScholarScraper - INFO: Starting publication extraction from: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ
[2025-01-09 21:05:34,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Attempting to obtain a tab for URL search: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ.
[2025-01-09 21:05:34,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] assigned for URL search: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ.
[2025-01-09 21:05:34,484 - 139801749485248]  ScholarScraper - INFO: Loading page with start index 0 and page size 100
[2025-01-09 21:05:34,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Loading URL: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ&cstart=0&pagesize=100 in tab[0].
[2025-01-09 21:05:35,420 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: URL https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ&cstart=0&pagesize=100 loaded successfully in tab[0].
[2025-01-09 21:05:35,420 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Obtaining HTML from tab[0].
[2025-01-09 21:05:35,420 - 139801749485248]  SeleniumDriver-ScholarScraper - DEBUG: Using default wait time.
[2025-01-09 21:05:35,420 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Waiting 45.00 seconds for 0 (delta: -37.17)...
[2025-01-09 21:06:20,422 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: HTML obtained from tab[0].
[2025-01-09 21:06:20,484 - 139801749485248]  ScholarScraper - INFO: TAB[0] - Found 7 publications on page with start index 0
[2025-01-09 21:06:20,484 - 139801749485248]  ScholarScraper - INFO: Loading page with start index 100 and page size 100
[2025-01-09 21:06:20,484 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Loading URL: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ&cstart=100&pagesize=100 in tab[0].
[2025-01-09 21:06:21,255 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: URL https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ&cstart=100&pagesize=100 loaded successfully in tab[0].
[2025-01-09 21:06:21,256 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Obtaining HTML from tab[0].
[2025-01-09 21:06:21,256 - 139801749485248]  SeleniumDriver-ScholarScraper - DEBUG: Using default wait time.
[2025-01-09 21:06:21,256 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Waiting 45.00 seconds for 0 (delta: -27.02)...
[2025-01-09 21:07:06,266 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: HTML obtained from tab[0].
[2025-01-09 21:07:06,374 - 139801749485248]  ScholarScraper - INFO: TAB[0] - No more rows found. Stopping extraction.
[2025-01-09 21:07:06,375 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Releasing tab[0] for URL search: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ.
[2025-01-09 21:07:06,375 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] released successfully.
[2025-01-09 21:07:06,375 - 139801749485248]  ScholarScraper - INFO: Publication extraction complete. Loaded 1 pages and extracted 7 publications.
[2025-01-09 21:07:06,375 - 139801749485248]  ScholarScraper - INFO: TAB[None] - Successfully extracted 7 publications.
[2025-01-09 21:07:06,376 - 139801749485248]  ScholarScraper - INFO: Fetching colleagues for user ID: gpwgJZkAAAAJ
[2025-01-09 21:07:06,376 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Attempting to obtain a tab for URL search: gpwgJZkAAAAJ.
[2025-01-09 21:07:06,376 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] assigned for URL search: gpwgJZkAAAAJ.
[2025-01-09 21:07:06,376 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Loading URL: https://scholar.google.com/citations?view_op=list_colleagues&hl=it&json=&user=gpwgJZkAAAAJ in tab[0].
[2025-01-09 21:07:07,703 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: URL https://scholar.google.com/citations?view_op=list_colleagues&hl=it&json=&user=gpwgJZkAAAAJ loaded successfully in tab[0].
[2025-01-09 21:07:07,703 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Obtaining HTML from tab[0].
[2025-01-09 21:07:07,703 - 139801749485248]  SeleniumDriver-ScholarScraper - DEBUG: Using default wait time.
[2025-01-09 21:07:07,704 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Waiting 72.59 seconds for 0 (delta: 23.10)...
[2025-01-09 21:08:20,306 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: HTML obtained from tab[0].
[2025-01-09 21:08:20,321 - 139801749485248]  ScholarScraper - INFO: TAB[0] - Extracted coauthor IDs: 4
